OBJECTID,TALB2018_V1_00,TALB2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Age__life_cycle_groups_15_29_years_2006,Age__life_cycle_groups_30_64_years_2006,Age__life_cycle_groups_65_years_and_over_2006,Age__life_cycle_groups_total_2006,Age__life_cycle_groups_Under_15_years_2006,Age__life_cycle_groups_15_29_years_2013,Age__life_cycle_groups_30_64_years_2013,Age__life_cycle_groups_65_years_and_over_2013,Age__life_cycle_groups_total_2013,Age__life_cycle_groups_Under_15_years_2013,Age__life_cycle_groups_15_29_years_2018,Age__life_cycle_groups_30_64_years_2018,Age__life_cycle_groups_65_years_and_over_2018,Age__life_cycle_groups_total_2018,Age__life_cycle_groups_Under_15_years_2018,Pop_Total_2006,Pop_Total_2013,Pop_Total_2018,Age__life_cycle_groups_15_29_years_2013_2018_percentChange,Age__life_cycle_groups_30_64_years_2013_2018_percentChange,Age__life_cycle_groups_65_years_and_over_2013_2018_percentChange,Age__life_cycle_groups_total_2013_2018_percentChange,Age__life_cycle_groups_Under_15_years_2013_2018_percentChange
1,00100,Far North District,6679.719675869995600,7318.121865459995200,8460,26094,7683,55845,13608,8238,25062,10044,55734,12384,10353,28191,12624,65250,14079,55845,55734,65250,25.699999999999999,12.500000000000000,25.699999999999999,17.100000000000001,13.699999999999999
2,00200,Whangarei District,2712.130520070002100,2854.330539850001100,12393,34059,11058,74463,16953,12429,34074,13923,76995,16566,15132,39381,17328,90960,19119,74463,76995,90960,21.699999999999999,15.600000000000000,24.500000000000000,18.100000000000001,15.400000000000000
3,00300,Kaipara District,3108.710953150000500,3114.579849890000300,2631,8568,2715,18135,4215,2670,8697,3792,18963,3801,3354,10020,5073,22869,4425,18135,18963,22869,25.600000000000001,15.199999999999999,33.799999999999997,20.600000000000001,16.399999999999999
4,01100,Thames-Coromandel District,2207.079167929999600,2298.782565160000100,3273,12609,5502,25938,4557,2952,11901,7059,26178,4269,3537,12600,9273,29895,4488,25938,26178,29895,19.800000000000001,5.900000000000000,31.399999999999999,14.199999999999999,5.100000000000000
5,01200,Hauraki District,1270.087067979999100,1270.087067979999100,2568,8274,3051,17856,3963,2634,7800,3897,17808,3480,2958,8595,4728,20022,3741,17856,17808,20022,12.300000000000001,10.199999999999999,21.300000000000001,12.400000000000000,7.500000000000000
6,01300,Waikato District,4403.282846770000100,4516.062517670001400,9888,27450,5580,57588,14670,10695,29976,7503,63378,15204,13239,35130,9525,75618,17724,57588,63378,75618,23.800000000000001,17.199999999999999,26.899999999999999,19.300000000000001,16.600000000000001
7,01500,Matamata-Piako District,1755.407018700000700,1755.407018700000700,5109,13575,4770,30483,7029,5502,13587,5685,31536,6765,6186,14436,6783,34404,6999,30483,31536,34404,12.400000000000000,6.200000000000000,19.300000000000001,9.100000000000000,3.500000000000000
8,01600,Hamilton City,110.372823280000090,110.936420020000110,34176,53943,13143,129588,28329,36042,59037,16155,141612,30378,40293,67197,19005,160911,34413,129588,141612,160911,11.800000000000001,13.800000000000001,17.600000000000001,13.600000000000000,13.300000000000001
9,01700,Waipa District,1470.074609270000600,1470.074609270000600,7038,19809,6048,42501,9606,7875,21288,7545,46668,9960,9252,23535,9456,53241,10995,42501,46668,53241,17.500000000000000,10.600000000000000,25.300000000000001,14.100000000000000,10.400000000000000
10,01800,Otorohanga District,1999.172316319999900,2064.366270150000200,1764,4191,936,9075,2190,1683,4128,1200,9141,2130,1926,4416,1479,10104,2283,9075,9141,10104,14.400000000000000,7.000000000000000,23.199999999999999,10.500000000000000,7.200000000000000
11,01900,South Waikato District,1818.902232420000700,1818.902232420000700,3915,9840,2853,22641,6036,3939,9444,3477,22071,5214,4479,10077,3963,24042,5526,22641,22071,24042,13.699999999999999,6.700000000000000,14.000000000000000,8.900000000000000,6.000000000000000
12,02000,Waitomo District,3534.799132870000000,3548.186744409999800,1671,4233,1074,9438,2460,1584,3972,1218,8907,2133,1701,4071,1446,9303,2082,9438,8907,9303,7.400000000000000,2.500000000000000,18.699999999999999,4.400000000000000,-2.400000000000000
13,02100,Taupo District,6333.586388259997000,6964.024033289993900,5646,15162,4407,32418,7200,5358,14922,5580,32907,7047,6072,16404,7077,37203,7653,32418,32907,37203,13.300000000000001,9.900000000000000,26.800000000000001,13.100000000000000,8.600000000000000
14,02200,Western Bay of Plenty District,1951.030286759999600,2117.443349549998400,5826,20445,6513,41826,9042,6291,20217,8445,43692,8742,8130,22881,10758,51321,9555,41826,43692,51321,29.199999999999999,13.199999999999999,27.399999999999999,17.500000000000000,9.300000000000001
15,02300,Tauranga City,135.116404589999890,174.962057040000130,17988,46167,18078,103881,21651,19026,50022,22113,114789,23628,23235,58938,26979,136713,27564,103881,114789,136713,22.100000000000001,17.800000000000001,22.000000000000000,19.100000000000001,16.699999999999999
16,02400,Rotorua District,2408.999006000000500,2618.946515670001200,12351,29592,7299,65901,16662,12264,28905,8976,65280,15132,14148,31248,10365,71877,16113,65901,65280,71877,15.400000000000000,8.100000000000000,15.500000000000000,10.100000000000000,6.500000000000000
