"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"1",1,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Sexual",1
"2",1,"Aggravated Sexual Assault",4,"1/03/2017","Waiuku East.",835201,"Auckland.",NA,NA,NA,NA,NA
"3",2,"Aggravated Sexual Assault",4,"1/03/2017","Blockhouse Bay.",370300,"Auckland.",NA,NA,NA,NA,NA
"4",2,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Sexual",1
"5",3,"Aggravated Sexual Assault",4,"1/03/2017","Oamaru North.",2847000,"Waitaki District.",NA,NA,NA,NA,NA
"6",3,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Sexual",6
"7",4,"Assault not further defined",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",23
"8",4,"Non-Aggravated Sexual Assault",4,"1/03/2017","Pukekohe North.",819100,"Auckland.",NA,NA,NA,NA,NA
"9",5,"Assault not further defined",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",1
"10",5,"Non-Aggravated Sexual Assault",4,"1/03/2017","Mt Eden North.",542700,"Auckland.",NA,NA,NA,NA,NA
"11",6,"Aggravated Sexual Assault",4,"1/03/2017","Kuirau.",1233900,"Rotorua District.",NA,NA,NA,NA,NA
"12",6,"Common Assault",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",5
"13",7,"Aggravated Sexual Assault",4,"1/03/2017","Richmond East.",2363204,"Tasman District.",NA,NA,NA,NA,NA
"14",7,"Assault not further defined",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",1
"15",8,"Common Assault",2,NA,NA,NA,NA,"Auckland City","Demand","Crime","Violence",5
"16",8,"Non-Aggravated Sexual Assault",4,"1/03/2017","Pukekohe North.",818300,"Auckland.",NA,NA,NA,NA,NA
"17",9,"Aggravated Sexual Assault",4,"1/03/2017","Tikitere.",1252400,"Rotorua District.",NA,NA,NA,NA,NA
"18",9,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Sexual",1
"19",10,"Aggravated Sexual Assault",4,"1/03/2017","North Gore.",3064100,"Gore District.",NA,NA,NA,NA,NA
"20",10,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Sexual",1
"21",11,"Aggravated Sexual Assault",4,"1/03/2017","Mt Cook-Wallace Street.",2146300,"Wellington City.",NA,NA,NA,NA,NA
"22",11,"Assault not further defined",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",2
"23",12,"Aggravated Sexual Assault",4,"1/03/2017","Brightwater.",2355601,"Tasman District.",NA,NA,NA,NA,NA
"24",12,"Assault not further defined",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",8
"25",13,"Common Assault",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",2
"26",13,"Non-Aggravated Sexual Assault",4,"1/03/2017","Trafalgar.",2319300,"Nelson City.",NA,NA,NA,NA,NA
"27",14,"Aggravated Sexual Assault",4,"1/03/2017","Waiwhetu North.",1976101,"Lower Hutt City.",NA,NA,NA,NA,NA
"28",14,"Assault not further defined",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",4
"29",15,"Aggravated Sexual Assault",4,"1/03/2017","Bexley.",2570900,"Christchurch City.",NA,NA,NA,NA,NA
"30",15,"Assault not further defined",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",7
"31",16,"Aggravated Sexual Assault",4,"1/03/2017","Newton.",412100,"Auckland.",NA,NA,NA,NA,NA
"32",16,"Common Assault",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",4
"33",17,"Aggravated Sexual Assault",4,"1/03/2017","Spreydon.",2643200,"Christchurch City.",NA,NA,NA,NA,NA
"34",17,"Assault not further defined",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",13
"35",18,"Common Assault",2,NA,NA,NA,NA,"Bay Of Plenty","Demand","Crime","Violence",6
"36",18,"Non-Aggravated Sexual Assault",4,"1/03/2017","St Kilda Central.",2949900,"Dunedin City.",NA,NA,NA,NA,NA
"37",19,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Sexual",1
"38",19,"Aggravated Sexual Assault",4,"1/03/2017","Newlands North.",2074400,"Wellington City.",NA,NA,NA,NA,NA
"39",20,"Aggravated Sexual Assault",4,"1/03/2017","Naenae North.",1954200,"Lower Hutt City.",NA,NA,NA,NA,NA
"40",20,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Canterbury","Demand","Crime","Sexual",2
