"","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Alert.Level"
"1","1/03/2017","Aggravated Sexual Assault","Waiuku East.",835201,"Auckland.",4
"2","1/03/2017","Aggravated Sexual Assault","Blockhouse Bay.",370300,"Auckland.",4
"3","1/03/2017","Aggravated Sexual Assault","Oamaru North.",2847000,"Waitaki District.",4
"4","1/03/2017","Non-Aggravated Sexual Assault","Pukekohe North.",819100,"Auckland.",4
"5","1/03/2017","Non-Aggravated Sexual Assault","Mt Eden North.",542700,"Auckland.",4
"6","1/03/2017","Aggravated Sexual Assault","Kuirau.",1233900,"Rotorua District.",4
"7","1/03/2017","Aggravated Sexual Assault","Richmond East.",2363204,"Tasman District.",4
"8","1/03/2017","Non-Aggravated Sexual Assault","Pukekohe North.",818300,"Auckland.",4
"9","1/03/2017","Aggravated Sexual Assault","Tikitere.",1252400,"Rotorua District.",4
"10","1/03/2017","Aggravated Sexual Assault","North Gore.",3064100,"Gore District.",4
"11","1/03/2017","Aggravated Sexual Assault","Mt Cook-Wallace Street.",2146300,"Wellington City.",4
"12","1/03/2017","Aggravated Sexual Assault","Brightwater.",2355601,"Tasman District.",4
"13","1/03/2017","Non-Aggravated Sexual Assault","Trafalgar.",2319300,"Nelson City.",4
"14","1/03/2017","Aggravated Sexual Assault","Waiwhetu North.",1976101,"Lower Hutt City.",4
"15","1/03/2017","Aggravated Sexual Assault","Bexley.",2570900,"Christchurch City.",4
"16","1/03/2017","Aggravated Sexual Assault","Newton.",412100,"Auckland.",4
"17","1/03/2017","Aggravated Sexual Assault","Spreydon.",2643200,"Christchurch City.",4
"18","1/03/2017","Non-Aggravated Sexual Assault","St Kilda Central.",2949900,"Dunedin City.",4
"19","1/03/2017","Aggravated Sexual Assault","Newlands North.",2074400,"Wellington City.",4
"20","1/03/2017","Aggravated Sexual Assault","Naenae North.",1954200,"Lower Hutt City.",4
"21","1/03/2017","Aggravated Sexual Assault","Papakura Central.",793502,"Auckland.",4
"22","1/03/2017","Aggravated Sexual Assault","Te Anau.",3168100,"Southland District.",4
"23","1/03/2017","Non-Aggravated Sexual Assault","Shirley East.",2596100,"Christchurch City.",4
"24","1/03/2017","Aggravated Sexual Assault","Dinsdale North.",920600,"Hamilton City.",4
"25","1/03/2017","Aggravated Sexual Assault","Hatfields Beach.",170803,"Auckland.",4
"26","1/03/2017","Aggravated Sexual Assault","Pukekohe North.",817600,"Auckland.",4
"27","1/03/2017","Non-Aggravated Sexual Assault","Epsom North.",457700,"Auckland.",4
"28","1/03/2017","Aggravated Sexual Assault","Glenavon.",381400,"Auckland.",4
"29","1/03/2017","Aggravated Sexual Assault","Bridge Pa.",1470213,"Hastings District.",4
"30","1/03/2017","Aggravated Sexual Assault","999999",-36,"Auckland.",4
"31","1/03/2017","Aggravated Sexual Assault","Grafton East.",442400,"Auckland.",4
"32","1/03/2017","Aggravated Sexual Assault","Washington.",2327301,"Nelson City.",4
"33","1/03/2017","Non-Aggravated Sexual Assault","Ellerslie South.",611900,"Auckland.",4
"34","1/03/2017","Aggravated Sexual Assault","Kingsland.",531200,"Auckland.",4
"35","1/03/2017","Non-Aggravated Sexual Assault","Naenae North.",1955800,"Lower Hutt City.",4
"36","1/04/2017","Common Assault","Dingwall.",667400,"Auckland.",3
"37","1/04/2017","Common Assault","Cathedral Square.",2649300,"Christchurch City.",3
"38","1/04/2017","Common Assault","Upper Hutt Central.",1906500,"Upper Hutt City.",3
"39","1/04/2017","Common Assault","Auckland Central East.",436700,"Auckland.",3
"40","1/04/2017","Common Assault","Newtown West.",2165200,"Wellington City.",3
"41","1/04/2017","Common Assault","Trafalgar.",2320300,"Nelson City.",3
"42","1/04/2017","Common Assault","Auckland Harbourside.",432900,"Auckland.",3
"43","1/04/2017","Common Assault","Outer Kaiti.",1384200,"Gisborne District.",3
"44","1/04/2017","Common Assault","Auckland Central East.",437101,"Auckland.",3
"45","1/04/2017","Common Assault","Hamilton Central.",911500,"Hamilton City.",3
"46","1/04/2017","Common Assault","Willis Street-Cambridge Terrace.",2133000,"Wellington City.",3
"47","1/05/2017","Common Assault","Maruia.",2398200,"Buller District.",2
"48","1/05/2017","Common Assault","Opotiki.",1339200,"Opotiki District.",2
"49","1/05/2017","Common Assault","Phillipstown.",2604900,"Christchurch City.",2
"50","1/05/2017","Common Assault","Ngatea.",1068100,"Hauraki District.",2
"51","1/05/2017","Common Assault","Grandview.",976712,"Hamilton City.",2
"52","1/05/2017","Common Assault","Merivale.",2674101,"Christchurch City.",2
"53","1/05/2017","Common Assault","Glen Innes East.",476600,"Auckland.",2
"54","1/05/2017","Common Assault","Parkside.",2801000,"Timaru District.",2
"55","1/05/2017","Common Assault","Freemans Bay.",413900,"Auckland.",2
"56","1/05/2017","Common Assault","Tauranga South.",1167104,"Tauranga City.",2
"57","1/05/2017","Common Assault","Taneatua.",1304302,"Whakatane District.",2
"58","1/05/2017","Common Assault","Te Awamutu South.",973700,"Waipa District.",2
"59","1/05/2017","Common Assault","Lambton.",2124400,"Wellington City.",2
"60","1/05/2017","Common Assault","Morningside.",105500,"Whangarei District.",2
"61","1/05/2017","Common Assault","Albany.",178800,"Auckland.",2
"62","1/05/2017","Common Assault","Auckland Harbourside.",438209,"Auckland.",2
"63","1/05/2017","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",2
"64","1/05/2017","Common Assault","Auckland Harbourside.",438103,"Auckland.",2
"65","1/05/2017","Common Assault","Auckland Central West.",434701,"Auckland.",2
"66","1/05/2017","Common Assault","Feilding North.",1770600,"Manawatu District.",2
"67","1/05/2017","Common Assault","Auckland Central West.",435604,"Auckland.",2
"68","1/05/2017","Common Assault","Upper Hutt Central.",1905800,"Upper Hutt City.",2
"69","1/05/2017","Common Assault","Wanaka.",3038907,"Queenstown-Lakes District.",2
"70","1/05/2017","Common Assault","Merivale.",2676500,"Christchurch City.",2
"71","1/05/2017","Common Assault","Grafton West.",440501,"Auckland.",2
"72","1/05/2017","Common Assault","Cathedral Square.",2649400,"Christchurch City.",2
"73","1/05/2017","Common Assault","Trafalgar.",2320300,"Nelson City.",2
"74","1/05/2017","Common Assault","Frankleigh.",1573400,"New Plymouth District.",2
"75","1/05/2017","Common Assault","Hamilton Central.",911800,"Hamilton City.",2
"76","1/05/2017","Common Assault","Insoll.",873400,"Hamilton City.",2
"77","1/05/2017","Common Assault","Muriwai Beach.",218805,"Auckland.",2
"78","1/05/2017","Common Assault","Sydenham.",2617601,"Christchurch City.",2
"79","1/05/2017","Common Assault","Stuart St-Frederick St.",2901200,"Dunedin City.",2
"80","1/05/2017","Common Assault","Greerton.",1176606,"Tauranga City.",2
"81","1/05/2017","Common Assault","Parnell West.",454700,"Auckland.",2
"82","1/05/2017","Common Assault","Willis Street-Cambridge Terrace.",2135600,"Wellington City.",2
"83","1/05/2017","Common Assault","Rawhiti.",2560500,"Christchurch City.",2
"84","1/05/2017","Common Assault","Trident.",1310700,"Whakatane District.",2
"85","1/05/2017","Common Assault","Hoon Hay South.",2635100,"Christchurch City.",2
"86","1/05/2017","Common Assault","Auckland Central West.",435201,"Auckland.",2
"87","1/05/2017","Common Assault","Hamilton Lake.",930102,"Hamilton City.",2
"88","1/05/2017","Common Assault","Redoubt South.",759903,"Auckland.",2
"89","1/05/2017","Common Assault","Omaka.",2288100,"Marlborough District.",2
"90","1/05/2017","Common Assault","Cathedral Square.",2648200,"Christchurch City.",2
"91","1/05/2017","Common Assault","Castlecliff North.",1682111,"Wanganui District.",2
"92","1/05/2017","Common Assault","Crinan.",3109600,"Invercargill City.",2
"93","1/05/2017","Common Assault","Hamilton Central.",912400,"Hamilton City.",2
"94","1/05/2017","Common Assault","West Melton.",2493802,"Selwyn District.",2
"95","1/05/2017","Common Assault","Hornby North.",2488300,"Christchurch City.",2
"96","1/05/2017","Common Assault","Bronte.",2321700,"Nelson City.",2
"97","1/05/2017","Common Assault","Spreydon.",2642500,"Christchurch City.",2
"98","1/05/2017","Common Assault","Dargaville.",114202,"Kaipara District.",2
"99","1/05/2017","Common Assault","Otaki.",1878900,"Kapiti Coast District.",2
"100","1/05/2017","Common Assault","Claudelands.",863600,"Hamilton City.",2
"101","1/05/2017","Common Assault","Weymouth East.",774003,"Auckland.",2
"102","1/05/2017","Common Assault","Sandringham North.",536100,"Auckland.",2
"103","1/05/2017","Common Assault","Ranzau.",2357400,"Tasman District.",2
"104","1/05/2017","Common Assault","Tauranga Central.",1164300,"Tauranga City.",2
"105","1/05/2017","Common Assault","Merivale.",2673900,"Christchurch City.",2
"106","1/05/2017","Common Assault","Morrinsville West.",1086400,"Matamata-Piako District.",2
"107","1/05/2017","Common Assault","Wharekaka.",1359100,"Gisborne District.",2
"108","1/05/2017","Common Assault","Bledisloe Park.",823300,"Auckland.",2
"109","1/05/2017","Common Assault","Roslyn.",1840000,"Palmerston North City.",2
"110","1/05/2017","Common Assault","Avon Loop.",2653700,"Christchurch City.",2
"111","1/05/2017","Common Assault","Surrey Crescent.",405800,"Auckland.",2
"112","1/05/2017","Common Assault","Paparua.",2494600,"Christchurch City.",2
"113","1/05/2017","Common Assault","Awapuni North.",1802100,"Palmerston North City.",2
"114","1/05/2017","Common Assault","Hornby South.",2491402,"Christchurch City.",2
"115","1/05/2017","Common Assault","Gulf Harbour.",175123,"Auckland.",2
"116","1/05/2017","Common Assault","Murupara.",1328300,"Whakatane District.",2
"117","1/05/2017","Common Assault","Moanataiari.",1052200,"Thames-Coromandel District.",2
"118","1/05/2017","Common Assault","Phillipstown.",2605100,"Christchurch City.",2
"119","1/05/2017","Common Assault","Wesley.",579200,"Auckland.",2
"120","1/05/2017","Common Assault","Dannemora.",712014,"Auckland.",2
"121","1/05/2017","Common Assault","999999",-79,"Auckland.",2
"122","1/05/2017","Common Assault","Seaview.",2791300,"Timaru District.",2
"123","1/05/2017","Common Assault","Parawai.",1052600,"Thames-Coromandel District.",2
"124","1/05/2017","Common Assault","Broads.",2330100,"Nelson City.",2
"125","1/05/2017","Common Assault","Rangiora North.",2444002,"Waimakariri District.",2
"126","1/05/2017","Common Assault","Maungawhau.",553700,"Auckland.",2
"127","1/05/2017","Common Assault","Upper Hutt Central.",1906200,"Upper Hutt City.",2
"128","1/05/2017","Common Assault","Gisborne Airport.",1375300,"Gisborne District.",2
"129","1/05/2017","Common Assault","Hillpark.",757300,"Auckland.",2
"130","1/05/2017","Common Assault","Hamilton Central.",911800,"Hamilton City.",2
"131","1/05/2017","Common Assault","Dallington.",2599100,"Christchurch City.",2
"132","1/05/2017","Common Assault","Highbury.",1815800,"Palmerston North City.",2
"133","1/05/2017","Common Assault","Palmerston North Central.",1829200,"Palmerston North City.",2
"134","1/05/2017","Common Assault","Trafalgar.",2320300,"Nelson City.",2
"135","1/05/2017","Common Assault","Homai East.",776101,"Auckland.",2
"136","1/05/2017","Common Assault","Ferguson.",709300,"Auckland.",2
"137","1/05/2017","Common Assault","Silverdale Central.",176802,"Auckland.",2
"138","1/05/2017","Common Assault","Whakatane North.",1305500,"Whakatane District.",2
"139","1/05/2017","Common Assault","Te Rapa.",908000,"Hamilton City.",2
"140","1/05/2017","Common Assault","Linwood.",2610100,"Christchurch City.",2
"141","1/05/2017","Common Assault","Bromley.",2580100,"Christchurch City.",2
"142","1/05/2017","Common Assault","Beachhaven South.",344901,"Auckland.",2
"143","1/05/2017","Common Assault","Onehunga North East.",592900,"Auckland.",2
"144","1/05/2017","Common Assault","Birdwood West.",226901,"Auckland.",2
"145","1/05/2017","Common Assault","Lynnmall.",264901,"Auckland.",2
"146","1/05/2017","Common Assault","Hikuai.",1060413,"Thames-Coromandel District.",2
"147","1/05/2017","Common Assault","Kahui.",1625700,"South Taranaki District.",2
"148","1/05/2017","Common Assault","Pinehill.",180605,"Auckland.",2
"149","1/05/2017","Common Assault","Willis Street-Cambridge Terrace.",2133408,"Wellington City.",2
"150","1/05/2017","Common Assault","Bruce.",2988300,"Clutha District.",2
"151","1/05/2017","Common Assault","Middlemore.",786500,"Auckland.",2
"152","1/05/2017","Common Assault","Waitangirua.",2059900,"Porirua City.",2
"153","1/05/2017","Common Assault","Tauhara.",1270100,"Taupo District.",2
"154","1/05/2017","Common Assault","Te Rapa.",908000,"Hamilton City.",2
"155","1/05/2017","Common Assault","Matipo.",246900,"Auckland.",2
"156","1/05/2017","Common Assault","Cathedral Square.",2651700,"Christchurch City.",2
"157","1/05/2017","Common Assault","Ashburton Central East.",2729500,"Ashburton District.",2
"158","1/05/2017","Common Assault","Cathedral Square.",2649800,"Christchurch City.",2
"159","1/05/2017","Common Assault","Kaikoura Township.",2312000,"Kaikoura District.",2
"160","1/05/2017","Common Assault","Nelson Park.",1429500,"Napier City.",2
"161","1/05/2017","Common Assault","Willis Street-Cambridge Terrace.",2133300,"Wellington City.",2
