"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"1","Auckland City","March/2020","Aggravated Sexual Assault",1,NA,NA
"2","Auckland City","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"3","Auckland City","March/2020","Non-Aggravated Sexual Assault",6,NA,NA
"4","Auckland City","March/2020","Assault not further defined",23,NA,NA
"5","Auckland City","March/2020","Assault not further defined",1,NA,NA
"6","Auckland City","March/2020","Common Assault",5,NA,NA
"7","Auckland City","March/2020","Assault not further defined",1,NA,NA
"8","Auckland City","March/2020","Common Assault",5,NA,NA
"9","Bay Of Plenty","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"10","Bay Of Plenty","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"11","Bay Of Plenty","March/2020","Assault not further defined",2,NA,NA
"12","Bay Of Plenty","March/2020","Assault not further defined",8,NA,NA
"13","Bay Of Plenty","March/2020","Common Assault",2,NA,NA
"14","Bay Of Plenty","March/2020","Assault not further defined",4,NA,NA
"15","Bay Of Plenty","March/2020","Assault not further defined",7,NA,NA
"16","Bay Of Plenty","March/2020","Common Assault",4,NA,NA
"17","Bay Of Plenty","March/2020","Assault not further defined",13,NA,NA
"18","Bay Of Plenty","March/2020","Common Assault",6,NA,NA
"19","Canterbury","March/2020","Aggravated Sexual Assault",1,NA,NA
"20","Canterbury","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"21","Canterbury","March/2020","Aggravated Sexual Assault",1,NA,NA
"22","Canterbury","March/2020","Assault not further defined",1,NA,NA
"23","Canterbury","March/2020","Assault not further defined",2,NA,NA
"24","Canterbury","March/2020","Common Assault",42,NA,NA
"25","Canterbury","March/2020","Common Assault",6,NA,NA
"26","Canterbury","March/2020","Assault not further defined",1,NA,NA
"27","Canterbury","March/2020","Assault not further defined",1,NA,NA
"28","Canterbury","March/2020","Common Assault",5,NA,NA
"29","Canterbury","March/2020","Assault not further defined",2,NA,NA
"30","Central","March/2020","Aggravated Sexual Assault",2,NA,NA
"31","Central","March/2020","Aggravated Sexual Assault",1,NA,NA
"32","Central","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"33","Central","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"34","Central","March/2020","Aggravated Sexual Assault",1,NA,NA
"35","Central","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"36","Central","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"37","Central","March/2020","Assault not further defined",2,NA,NA
"38","Central","March/2020","Assault not further defined",1,NA,NA
"39","Central","March/2020","Assault not further defined",2,NA,NA
"40","Central","March/2020","Assault not further defined",13,NA,NA
"41","Central","March/2020","Common Assault",7,NA,NA
"42","Central","March/2020","Common Assault",1,NA,NA
"43","Central","March/2020","Assault not further defined",1,NA,NA
"44","Central","March/2020","Assault not further defined",2,NA,NA
"45","Central","March/2020","Assault not further defined",10,NA,NA
"46","Central","March/2020","Common Assault",2,NA,NA
"47","Central","March/2020","Common Assault",1,NA,NA
"48","Central","March/2020","Common Assault",5,NA,NA
"49","Central","March/2020","Assault not further defined",1,NA,NA
"50","Central","March/2020","Assault not further defined",4,NA,NA
"51","Counties/Manukau","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"52","Counties/Manukau","March/2020","Aggravated Sexual Assault",2,NA,NA
"53","Counties/Manukau","March/2020","Aggravated Sexual Assault",1,NA,NA
"54","Counties/Manukau","March/2020","Assault not further defined",16,NA,NA
"55","Counties/Manukau","March/2020","Assault not further defined",3,NA,NA
"56","Counties/Manukau","March/2020","Common Assault",17,NA,NA
"57","Counties/Manukau","March/2020","Assault not further defined",15,NA,NA
"58","Counties/Manukau","March/2020","Common Assault",15,NA,NA
"59","Eastern","March/2020","Aggravated Sexual Assault",1,NA,NA
"60","Eastern","March/2020","Assault not further defined",8,NA,NA
"61","Eastern","March/2020","Assault not further defined",3,NA,NA
"62","Eastern","March/2020","Common Assault",1,NA,NA
"63","Eastern","March/2020","Assault not further defined",2,NA,NA
"64","Eastern","March/2020","Assault not further defined",7,NA,NA
"65","Eastern","March/2020","Common Assault",12,NA,NA
"66","Northland","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"67","Northland","March/2020","Aggravated Sexual Assault",1,NA,NA
"68","Northland","March/2020","Non-Aggravated Sexual Assault",4,NA,NA
"69","Northland","March/2020","Assault not further defined",1,NA,NA
"70","Northland","March/2020","Assault not further defined",1,NA,NA
"71","Northland","March/2020","Assault not further defined",1,NA,NA
"72","Northland","March/2020","Common Assault",5,NA,NA
"73","Northland","March/2020","Assault not further defined",2,NA,NA
"74","Northland","March/2020","Common Assault",1,NA,NA
"75","Southern","March/2020","Aggravated Sexual Assault",1,NA,NA
"76","Southern","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"77","Southern","March/2020","Aggravated Sexual Assault",2,NA,NA
"78","Southern","March/2020","Assault not further defined",7,NA,NA
"79","Southern","March/2020","Assault not further defined",1,NA,NA
"80","Southern","March/2020","Common Assault",4,NA,NA
"81","Southern","March/2020","Assault not further defined",2,NA,NA
"82","Southern","March/2020","Common Assault",3,NA,NA
"83","Southern","March/2020","Assault not further defined",3,NA,NA
"84","Southern","March/2020","Assault not further defined",1,NA,NA
"85","Tasman","March/2020","Aggravated Sexual Assault",1,NA,NA
"86","Tasman","March/2020","Assault not further defined",6,NA,NA
"87","Tasman","March/2020","Common Assault",6,NA,NA
"88","Tasman","March/2020","Assault not further defined",4,NA,NA
"89","Waikato","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"90","Waikato","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"91","Waikato","March/2020","Assault not further defined",23,NA,NA
"92","Waikato","March/2020","Common Assault",3,NA,NA
"93","Waikato","March/2020","Assault not further defined",1,NA,NA
"94","Waikato","March/2020","Assault not further defined",1,NA,NA
"95","Waikato","March/2020","Common Assault",1,NA,NA
"96","Waikato","March/2020","Common Assault",4,NA,NA
"97","Waikato","March/2020","Assault not further defined",1,NA,NA
"98","Waikato","March/2020","Assault not further defined",1,NA,NA
"99","Waikato","March/2020","Common Assault",1,NA,NA
"100","Waitemata","March/2020","Aggravated Sexual Assault",1,NA,NA
"101","Waitemata","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"102","Waitemata","March/2020","Assault not further defined",2,NA,NA
"103","Waitemata","March/2020","Common Assault",2,NA,NA
"104","Waitemata","March/2020","Assault not further defined",8,NA,NA
"105","Waitemata","March/2020","Assault not further defined",5,NA,NA
"106","Waitemata","March/2020","Common Assault",4,NA,NA
"107","Waitemata","March/2020","Common Assault",4,NA,NA
"108","Waitemata","March/2020","Assault not further defined",3,NA,NA
"109","Waitemata","March/2020","Common Assault",3,NA,NA
"110","Waitemata","March/2020","Assault not further defined",10,NA,NA
"111","Waitemata","March/2020","Common Assault",3,NA,NA
"112","Wellington","March/2020","Non-Aggravated Sexual Assault",2,NA,NA
"113","Wellington","March/2020","Aggravated Sexual Assault",1,NA,NA
"114","Wellington","March/2020","Non-Aggravated Sexual Assault",1,NA,NA
"115","Wellington","March/2020","Assault not further defined",1,NA,NA
"116","Wellington","March/2020","Assault not further defined",2,NA,NA
"117","Wellington","March/2020","Common Assault",3,NA,NA
"118","Wellington","March/2020","Assault not further defined",2,NA,NA
"119","Wellington","March/2020","Assault not further defined",1,NA,NA
"120","Wellington","March/2020","Assault not further defined",3,NA,NA
"121","Wellington","March/2020","Common Assault",3,NA,NA
"122","Auckland City","April/2020","Non-Aggravated Sexual Assault",4,NA,NA
"123","Auckland City","April/2020","Non-Aggravated Sexual Assault",4,NA,NA
"124","Auckland City","April/2020","Assault not further defined",7,NA,NA
"125","Auckland City","April/2020","Assault not further defined",1,NA,NA
"126","Auckland City","April/2020","Assault not further defined",7,NA,NA
"127","Auckland City","April/2020","Assault not further defined",1,NA,NA
"128","Auckland City","April/2020","Common Assault",5,NA,NA
"129","Bay Of Plenty","April/2020","Aggravated Sexual Assault",1,NA,NA
"130","Bay Of Plenty","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"131","Bay Of Plenty","April/2020","Assault not further defined",5,NA,NA
"132","Bay Of Plenty","April/2020","Assault not further defined",1,NA,NA
"133","Bay Of Plenty","April/2020","Common Assault",1,NA,NA
"134","Bay Of Plenty","April/2020","Common Assault",1,NA,NA
"135","Bay Of Plenty","April/2020","Assault not further defined",1,NA,NA
"136","Bay Of Plenty","April/2020","Assault not further defined",3,NA,NA
"137","Bay Of Plenty","April/2020","Common Assault",1,NA,NA
"138","Bay Of Plenty","April/2020","Common Assault",5,NA,NA
"139","Canterbury","April/2020","Aggravated Sexual Assault",1,NA,NA
"140","Canterbury","April/2020","Non-Aggravated Sexual Assault",2,NA,NA
"141","Canterbury","April/2020","Assault not further defined",8,NA,NA
"142","Canterbury","April/2020","Common Assault",5,NA,NA
"143","Canterbury","April/2020","Common Assault",1,NA,NA
"144","Canterbury","April/2020","Assault not further defined",1,NA,NA
"145","Central","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"146","Central","April/2020","Aggravated Sexual Assault",1,NA,NA
"147","Central","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"148","Central","April/2020","Assault not further defined",7,NA,NA
"149","Central","April/2020","Assault not further defined",2,NA,NA
"150","Central","April/2020","Common Assault",1,NA,NA
"151","Central","April/2020","Assault not further defined",1,NA,NA
"152","Central","April/2020","Common Assault",2,NA,NA
"153","Central","April/2020","Assault not further defined",4,NA,NA
"154","Counties/Manukau","April/2020","Assault not further defined",1,NA,NA
"155","Counties/Manukau","April/2020","Assault not further defined",5,NA,NA
"156","Counties/Manukau","April/2020","Common Assault",1,NA,NA
"157","Counties/Manukau","April/2020","Assault not further defined",9,NA,NA
"158","Counties/Manukau","April/2020","Assault not further defined",6,NA,NA
"159","Counties/Manukau","April/2020","Common Assault",1,NA,NA
"160","Eastern","April/2020","Aggravated Sexual Assault",1,NA,NA
"161","Eastern","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"162","Eastern","April/2020","Assault not further defined",2,NA,NA
"163","Eastern","April/2020","Assault not further defined",2,NA,NA
"164","Eastern","April/2020","Common Assault",4,NA,NA
"165","Eastern","April/2020","Common Assault",2,NA,NA
"166","Eastern","April/2020","Assault not further defined",1,NA,NA
"167","Northland","April/2020","Assault not further defined",1,NA,NA
"168","Northland","April/2020","Assault not further defined",1,NA,NA
"169","Northland","April/2020","Common Assault",1,NA,NA
"170","Northland","April/2020","Assault not further defined",1,NA,NA
"171","Southern","April/2020","Non-Aggravated Sexual Assault",1,NA,NA
"172","Southern","April/2020","Assault not further defined",1,NA,NA
"173","Southern","April/2020","Assault not further defined",1,NA,NA
"174","Southern","April/2020","Common Assault",1,NA,NA
"175","Southern","April/2020","Common Assault",1,NA,NA
"176","Tasman","April/2020","Assault not further defined",1,NA,NA
"177","Tasman","April/2020","Assault not further defined",2,NA,NA
"178","Tasman","April/2020","Common Assault",1,NA,NA
"179","Waikato","April/2020","Aggravated Sexual Assault",1,NA,NA
