Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Crime,2,Auckland City,Auckland Central Area,13
Demand,Crime,2,Auckland City,Auckland Central Area,9
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,3
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland West Area,1
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland Central Area,34
Demand,Crime,2,Auckland City,Auckland Central Area,16
Demand,Crime,2,Auckland City,Auckland Central Area,1
Demand,Crime,2,Auckland City,Auckland Central Area,130
Demand,Crime,2,Auckland City,Auckland Central Area,3
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,1
Demand,Crime,2,Auckland City,Auckland East Area,2
Demand,Crime,2,Auckland City,Auckland East Area,17
Demand,Crime,2,Auckland City,Auckland East Area,9
Demand,Crime,2,Auckland City,Auckland East Area,27
Demand,Crime,2,Auckland City,Auckland East Area,18
Demand,Crime,2,Auckland City,Auckland West Area,2
Demand,Crime,2,Auckland City,Auckland West Area,3
Demand,Crime,2,Auckland City,Auckland West Area,53
Demand,Crime,2,Auckland City,Auckland West Area,31
Demand,Crime,2,Auckland City,Auckland West Area,21
Demand,Crime,2,Auckland City,Auckland Central Area,8
Demand,Crime,2,Auckland City,Auckland Central Area,30
Demand,Crime,2,Auckland City,Auckland Central Area,8
