"","Original.Index","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority"
"1",4,0001-02-17,"Common Assault","Phillipstown.",2605400,"Christchurch City."
"2",9,0001-02-17,"Common Assault","Kohuora.",746313,"Auckland."
"3",14,0001-02-17,"Common Assault","Williams Domain.",1691000,"Wanganui District."
"4",19,0001-02-17,"Common Assault","Onehunga South East.",602402,"Auckland."
"5",24,0001-02-17,"Common Assault","Hamilton East.",892800,"Hamilton City."
"6",31,0001-02-17,"Serious Assault Not Resulting in Injury","Henderson South.",243300,"Auckland."
"7",36,0001-02-17,"Serious Assault Not Resulting in Injury","Appleby-Kew.",3113600,"Invercargill City."
"8",38,0001-02-17,"Serious Assault Resulting in Injury","Highfield.",2787100,"Timaru District."
"9",55,0001-03-17,"Aggravated Sexual Assault","Papakura Central.",793000,"Auckland."
"10",60,0001-03-17,"Aggravated Sexual Assault","Lake Alice.",1741100,"Rangitikei District."
"11",65,0001-03-17,"Aggravated Sexual Assault","New Lynn South.",269200,"Auckland."
"12",70,0001-03-17,"Aggravated Sexual Assault","Hokitika Urban.",2425200,"Westland District."
"13",72,0001-03-17,"Non-Aggravated Sexual Assault","St Kilda Central.",2949900,"Dunedin City."
"14",75,0001-03-17,"Aggravated Sexual Assault","Te Pahu.",860300,"Waipa District."
"15",77,0001-03-17,"Non-Aggravated Sexual Assault","Shirley East.",2596100,"Christchurch City."
"16",83,0001-02-17,"Serious Assault Resulting in Injury","Waverley.",1664100,"South Taranaki District."
"17",89,0001-02-17,"Common Assault","Doncaster.",1206830,"Tauranga City."
"18",94,0001-02-17,"Common Assault","Gisborne Central.",1368900,"Gisborne District."
"19",99,0001-02-17,"Common Assault","Porritt.",875000,"Hamilton City."
"20",104,0001-02-17,"Common Assault","Takaro.",1826400,"Palmerston North City."
"21",106,0001-02-17,"Serious Assault Not Resulting in Injury","Kaitaia West.",15500,"Far North District."
"22",111,0001-02-17,"Serious Assault Not Resulting in Injury","Mangere South.",728805,"Auckland."
"23",118,0001-02-17,"Serious Assault Resulting in Injury","Westown.",1575500,"New Plymouth District."
"24",124,0001-02-17,"Common Assault","Cathedral Square.",2653000,"Christchurch City."
"25",129,0001-02-17,"Common Assault","Auckland Central East.",438106,"Auckland."
"26",134,0001-02-17,"Common Assault","Onekawa South.",1441800,"Napier City."
"27",139,0001-02-17,"Common Assault","Stuart St-Frederick St.",2901000,"Dunedin City."
"28",144,0001-02-17,"Common Assault","Te Kauwhata.",938301,"Waikato District."
"29",149,0001-02-17,"Common Assault","Royal Oak.",566300,"Auckland."
"30",154,0001-02-17,"Common Assault","Struan Park.",1567600,"New Plymouth District."
"31",159,0001-02-17,"Common Assault","Tauranga Central.",1163900,"Tauranga City."
"32",230,0001-03-17,"Aggravated Sexual Assault","Akarana.",582700,"Auckland."
"33",235,0001-03-17,"Aggravated Sexual Assault","Wanganui Collegiate.",1721302,"Wanganui District."
"34",647,0001-07-17,"Non-Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2135600,"Wellington City."
"35",1166,0001-02-17,"Serious Assault Not Resulting in Injury","Gonville West.",1718300,"Wanganui District."
"36",1171,0001-02-17,"Serious Assault Not Resulting in Injury","Otaki.",1881700,"Kapiti Coast District."
"37",1173,0001-02-17,"Serious Assault Resulting in Injury","Taupo Central.",1273300,"Taupo District."
"38",1178,0001-02-17,"Serious Assault Resulting in Injury","Highbury.",1818900,"Palmerston North City."
"39",1183,0001-02-17,"Serious Assault Resulting in Injury","Beachlands-Maraetai.",719303,"Auckland."
"40",1184,0001-02-17,"Common Assault","Cathedral Square.",2649300,"Christchurch City."
"41",1189,0001-02-17,"Common Assault","Onekawa West.",1426300,"Napier City."
"42",1194,0001-02-17,"Common Assault","Whakatane North.",1307200,"Whakatane District."
"43",1199,0001-02-17,"Common Assault","Kinloch.",1278304,"Taupo District."
"44",1204,0001-02-17,"Common Assault","Cloustonville.",1915700,"Upper Hutt City."
"45",1209,0001-02-17,"Common Assault","Maoribank.",1913801,"Upper Hutt City."
"46",1214,0001-02-17,"Common Assault","Te Hapara.",1366400,"Gisborne District."
"47",1221,0001-02-17,"Serious Assault Not Resulting in Injury","Gisborne Central.",1369900,"Gisborne District."
"48",1226,0001-02-17,"Serious Assault Not Resulting in Injury","Dannemora.",711709,"Auckland."
"49",1233,0001-02-17,"Serious Assault Resulting in Injury","Auckland Central East.",437702,"Auckland."
"50",1238,0001-02-17,"Serious Assault Resulting in Injury","Waerenga.",935600,"Waikato District."
"51",1244,0001-02-17,"Common Assault","Auckland Harbourside.",437903,"Auckland."
"52",1249,0001-02-17,"Common Assault","South Dunedin.",2930600,"Dunedin City."
"53",1254,0001-02-17,"Common Assault","Wiri.",780414,"Auckland."
"54",1259,0001-02-17,"Common Assault","999999",-40,"Auckland."
"55",1264,0001-02-17,"Common Assault","Auckland Harbourside.",438209,"Auckland."
"56",1271,0001-02-17,"Serious Assault Not Resulting in Injury","Mangapapa.",1377100,"Gisborne District."
"57",1278,0001-02-17,"Serious Assault Resulting in Injury","Kaikohe.",42500,"Far North District."
"58",1284,0001-02-17,"Common Assault","Otahuhu West.",784400,"Auckland."
"59",1289,0001-02-17,"Common Assault","Brockville.",2881600,"Dunedin City."
"60",1294,0001-02-17,"Common Assault","Manukau Central.",781200,"Auckland."
"61",1299,0001-02-17,"Common Assault","Meadowbank North.",460000,"Auckland."
"62",1304,0001-02-17,"Common Assault","Browns Bay.",161200,"Auckland."
"63",1311,0001-02-17,"Serious Assault Not Resulting in Injury","Heretaunga-Silverstream.",1902101,"Upper Hutt City."
"64",1318,0001-02-17,"Serious Assault Resulting in Injury","Marewa.",1435500,"Napier City."
