"","year","Event","Meshblock","Alert.Level","Location","number_of_victimizations"
"9","17","Aggravated Sexual Assault",793000,4,"Auckland",NA
"10","17","Aggravated Sexual Assault",1741100,4,"West Coast/ Upper-Central North",NA
"11","17","Aggravated Sexual Assault",269200,4,"Auckland",NA
"12","17","Aggravated Sexual Assault",2425200,4,"Tasman/ South-West Coast",NA
"13","17","Non-Aggravated Sexual Assault",2949900,4,"Southland/ Otago",NA
"14","17","Aggravated Sexual Assault",860300,4,"Waikato",NA
"15","17","Non-Aggravated Sexual Assault",2596100,4,"Canterbury",NA
"32","17","Aggravated Sexual Assault",582700,4,"Auckland",NA
"33","17","Aggravated Sexual Assault",1721302,4,"West Coast/ Upper-Central North",NA
"71","17","Common Assault",874000,3,"Waikato",NA
"72","17","Common Assault",2378900,3,"Tasman/ South-West Coast",NA
"75","17","Common Assault",2046600,2,"Wellington/ Lower-Central North",NA
"76","17","Serious Assault Not Resulting in Injury",2570400,2,"Canterbury",NA
"77","17","Common Assault",560800,2,"Auckland",NA
"78","17","Serious Assault Not Resulting in Injury",1804300,2,"West Coast/ Upper-Central North",NA
"79","17","Common Assault",2899900,2,"Southland/ Otago",NA
"80","17","Serious Assault Not Resulting in Injury",1725900,2,"West Coast/ Upper-Central North",NA
"81","17","Serious Assault Not Resulting in Injury",434000,2,"Auckland",NA
"82","17","Common Assault",2411500,2,"Tasman/ South-West Coast",NA
"83","17","Common Assault",1143000,2,"Waikato",NA
"84","17","Serious Assault Not Resulting in Injury",1316900,2,"Bay Of Plenty",NA
"85","17","Common Assault",2320600,2,"Tasman/ South-West Coast",NA
"100","17","Common Assault",1642600,2,"West Coast/ Upper-Central North",NA
"101","17","Common Assault",57700,2,"Northland",NA
"102","17","Common Assault",1470213,2,"Hawkes Bay/ Gisborne",NA
"103","17","Common Assault",443200,2,"Auckland",NA
"104","17","Common Assault",2793900,2,"Canterbury",NA
"105","17","Serious Assault Not Resulting in Injury",1271100,2,"Waikato",NA
"106","17","Serious Assault Resulting in Injury",912200,2,"Waikato",NA
"107","17","Common Assault",712802,2,"Auckland",NA
"108","17","Common Assault",1313608,2,"Bay Of Plenty",NA
"109","17","Common Assault",657800,2,"Auckland",NA
"110","17","Common Assault",1906200,2,"Wellington/ Lower-Central North",NA
"111","17","Serious Assault Not Resulting in Injury",116800,2,"Northland",NA
"112","17","Serious Assault Not Resulting in Injury",3131200,2,"Southland/ Otago",NA
"113","17","Serious Assault Resulting in Injury",910400,2,"Waikato",NA
"114","17","Common Assault",792000,2,"Auckland",NA
"115","17","Common Assault",771400,2,"Auckland",NA
"116","17","Common Assault",98200,2,"Northland",NA
"117","17","Common Assault",452200,2,"Auckland",NA
"118","17","Common Assault",3115000,2,"Southland/ Otago",NA
"119","17","Serious Assault Not Resulting in Injury",1171700,2,"Bay Of Plenty",NA
"120","17","Serious Assault Not Resulting in Injury",946700,2,"Waikato",NA
"121","17","Serious Assault Not Resulting in Injury",412301,2,"Auckland",NA
"122","17","Serious Assault Resulting in Injury",804701,2,"Auckland",NA
"123","17","Serious Assault Resulting in Injury",1429700,2,"Hawkes Bay/ Gisborne",NA
"124","17","Serious Assault Resulting in Injury",179600,2,"Auckland",NA
"125","17","Common Assault",54600,2,"Northland",NA
"126","17","Common Assault",1592700,2,"West Coast/ Upper-Central North",NA
"127","17","Common Assault",265900,2,"Auckland",NA
"128","17","Common Assault",662400,2,"Auckland",NA
"129","17","Common Assault",1371300,2,"Hawkes Bay/ Gisborne",NA
"130","17","Serious Assault Not Resulting in Injury",411600,2,"Auckland",NA
"131","17","Serious Assault Not Resulting in Injury",942203,2,"Waikato",NA
"132","17","Serious Assault Resulting in Injury",2377800,2,"Tasman/ South-West Coast",NA
"133","17","Serious Assault Resulting in Injury",767003,2,"Auckland",NA
"134","17","Common Assault",726400,2,"Auckland",NA
"135","17","Common Assault",442400,2,"Auckland",NA
"136","17","Common Assault",727700,2,"Auckland",NA
"137","17","Common Assault",1695900,2,"West Coast/ Upper-Central North",NA
"138","17","Serious Assault Not Resulting in Injury",437903,2,"Auckland",NA
"139","17","Serious Assault Not Resulting in Injury",780800,2,"Auckland",NA
"140","17","Serious Assault Resulting in Injury",831800,2,"Waikato",NA
"141","17","Serious Assault Resulting in Injury",1376602,2,"Hawkes Bay/ Gisborne",NA
"142","17","Common Assault",2494600,2,"Canterbury",NA
"143","17","Common Assault",2894500,2,"Southland/ Otago",NA
"144","17","Common Assault",436500,2,"Auckland",NA
"145","17","Common Assault",2678500,2,"Canterbury",NA
"146","17","Common Assault",2491900,2,"Canterbury",NA
"147","17","Serious Assault Not Resulting in Injury",1817300,2,"West Coast/ Upper-Central North",NA
"148","17","Serious Assault Resulting in Injury",757100,2,"Auckland",NA
"149","17","Common Assault",2324700,2,"Tasman/ South-West Coast",NA
"150","17","Serious Assault Resulting in Injury",-26,2,"Northland",NA
"151","17","Common Assault",1195100,2,"Bay Of Plenty",NA
"152","17","Common Assault",42102,2,"Northland",NA
"153","17","Common Assault",2494600,2,"Canterbury",NA
"154","17","Common Assault",426101,2,"Auckland",NA
"155","17","Common Assault",90800,2,"Northland",NA
"156","17","Common Assault",235600,2,"Auckland",NA
"157","17","Serious Assault Not Resulting in Injury",1292700,2,"Waikato",NA
"158","17","Serious Assault Not Resulting in Injury",1170400,2,"Bay Of Plenty",NA
"159","17","Serious Assault Resulting in Injury",1225600,2,"Bay Of Plenty",NA
"160","17","Common Assault",699100,3,"Auckland",NA
"161","17","Common Assault",2320300,3,"Tasman/ South-West Coast",NA
"162","17","Serious Assault Not Resulting in Injury",274700,3,"Auckland",NA
"163","17","Serious Assault Not Resulting in Injury",1829600,3,"West Coast/ Upper-Central North",NA
"164","17","Serious Assault Resulting in Injury",1829500,3,"West Coast/ Upper-Central North",NA
"165","17","Common Assault",1591500,3,"West Coast/ Upper-Central North",NA
"166","17","Common Assault",242700,3,"Auckland",NA
"167","17","Common Assault",932100,3,"Waikato",NA
