"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"9","3","17","Aggravated Sexual Assault","Papakura Central.",793000,"Auckland.",4,"Auckland",NA
"10","3","17","Aggravated Sexual Assault","Lake Alice.",1741100,"Rangitikei District.",4,"West Coast/ Upper-Central North",NA
"11","3","17","Aggravated Sexual Assault","New Lynn South.",269200,"Auckland.",4,"Auckland",NA
"12","3","17","Aggravated Sexual Assault","Hokitika Urban.",2425200,"Westland District.",4,"Tasman/ South-West Coast",NA
"13","3","17","Non-Aggravated Sexual Assault","St Kilda Central.",2949900,"Dunedin City.",4,"Southland/ Otago",NA
"14","3","17","Aggravated Sexual Assault","Te Pahu.",860300,"Waipa District.",4,"Waikato",NA
"15","3","17","Non-Aggravated Sexual Assault","Shirley East.",2596100,"Christchurch City.",4,"Canterbury",NA
"32","3","17","Aggravated Sexual Assault","Akarana.",582700,"Auckland.",4,"Auckland",NA
"33","3","17","Aggravated Sexual Assault","Wanganui Collegiate.",1721302,"Wanganui District.",4,"West Coast/ Upper-Central North",NA
"34","7","17","Non-Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2135600,"Wellington City.",1,"Wellington/ Lower-Central North",NA
"71","4","17","Common Assault","Insoll.",874000,"Hamilton City.",3,"Waikato",NA
"72","4","17","Common Assault","Motueka West.",2378900,"Tasman District.",3,"Tasman/ South-West Coast",NA
"75","5","17","Common Assault","Cannons Creek North.",2046600,"Porirua City.",2,"Wellington/ Lower-Central North",NA
"76","5","17","Serious Assault Not Resulting in Injury","Bexley.",2570400,"Christchurch City.",2,"Canterbury",NA
"77","5","17","Common Assault","Three Kings.",560800,"Auckland.",2,"Auckland",NA
"78","5","17","Serious Assault Not Resulting in Injury","Awapuni South.",1804300,"Palmerston North City.",2,"West Coast/ Upper-Central North",NA
"79","5","17","Common Assault","High St-Stuart St.",2899900,"Dunedin City.",2,"Southland/ Otago",NA
"80","5","17","Serious Assault Not Resulting in Injury","Gonville South.",1725900,"Wanganui District.",2,"West Coast/ Upper-Central North",NA
"81","5","17","Serious Assault Not Resulting in Injury","Auckland Central West.",434000,"Auckland.",2,"Auckland",NA
"82","5","17","Common Assault","Greymouth South.",2411500,"Grey District.",2,"Tasman/ South-West Coast",NA
"83","5","17","Common Assault","Tokoroa Central.",1143000,"South Waikato District.",2,"Waikato",NA
"84","5","17","Serious Assault Not Resulting in Injury","Kawerau.",1316900,"Kawerau District.",2,"Bay Of Plenty",NA
"85","5","17","Common Assault","Trafalgar.",2320600,"Nelson City.",2,"Tasman/ South-West Coast",NA
"100","5","17","Common Assault","Hawera North.",1642600,"South Taranaki District.",2,"West Coast/ Upper-Central North",NA
"101","5","17","Common Assault","Kawakawa.",57700,"Far North District.",2,"Northland",NA
"102","5","17","Common Assault","Bridge Pa.",1470213,"Hastings District.",2,"Hawkes Bay/ Gisborne",NA
"103","5","17","Common Assault","Epsom North.",443200,"Auckland.",2,"Auckland",NA
