Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,2027,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,2566,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,4338,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,1170,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,135,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,463,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,39,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,123,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,482,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,1810,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,988,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,379,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,1744,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,784,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,2710,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,704,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,59,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,543,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,40,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,102,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,2039,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,11,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,12454,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,1096,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,385,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,1489,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,698,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,47,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,214,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,19,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,68,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,1114,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,4,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,7258,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,531,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,1822,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,4395,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,1109,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,244,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,2783,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,13,
Auckland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,21758,
Waitemata District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,59,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,14,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,361,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,1006,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,471,
Northland District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,272,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1994,1327,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,2561,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,606,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,570,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,3780,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,927,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,1541,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,406,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1994,12,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1994,2054,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1994,105,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,42,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,376,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,81,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,1314,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,3975,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,1113,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,2417,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,464,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1994,2909,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1994,499,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1994,46,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1994,17017,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,317,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1994,83,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1994,1554,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1994,4021,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1994,841,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1994,1614,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1994,675,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1994,52,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1994,450,
